date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2/23/19,AAPL,3/22/19,185,Call,0.41,0.45,0.184,0.1044,0.0206,-0.0298,0.0867,0.0135
2/23/19,AAPL,3/22/19,185,Put,12.1,12.4,0.1852,-0.912,0.0222,-0.0195,0.0812,-0.0535
2/23/19,AAPL,3/22/19,190,Call,0.15,0.19,0.1936,0.0455,0.0103,-0.0164,0.0457,0.0059
2/23/19,AAPL,3/22/19,190,Put,16.95,17.25,0.2085,-0.9607,0.0131,-0.0107,0.0437,-0.0343
2/23/19,AAPL,3/22/19,200,Call,0.03,0.06,0.2086,0.0071,0.002,-0.0036,0.0094,0.0009
2/23/19,AAPL,3/22/19,200,Put,26.85,27.2,0.2343,-1,0,0,0,0
2/23/19,AAPL,4/18/19,185,Call,1.4,1.42,0.1912,0.2044,0.0223,-0.0358,0.1886,0.0502
2/23/19,AAPL,4/18/19,185,Put,12.85,13.05,0.1928,-0.8125,0.0238,-0.0253,0.1844,-0.1239
2/23/19,AAPL,4/18/19,190,Call,0.68,0.71,0.1902,0.116,0.0154,-0.0243,0.1299,0.0286
2/23/19,AAPL,4/18/19,190,Put,17.15,17.45,0.1902,-0.9114,0.0173,-0.0133,0.1105,-0.0903
2/23/19,AAPL,4/18/19,200,Call,0.17,0.18,0.1981,0.0345,0.0058,-0.0097,0.0508,0.0086
2/23/19,AAPL,4/18/19,200,Put,27,27.3,0.2421,-0.9553,0.0096,-0.0094,0.0649,-0.0644
3/2/19,AAPL,3/15/19,187.5,Call,0.05,0.07,0.1783,0.0262,0.01,-0.0136,0.0208,0.0017
3/2/19,AAPL,3/15/19,187.5,Put,12.15,12.9,0.1783,-0.9926,0.0106,-0.0028,0.0101,-0.0027
3/2/19,AAPL,3/15/19,192.5,Call,0.02,0.03,0.2076,0.0105,0.0039,-0.0072,0.0095,0.0007
3/2/19,AAPL,3/15/19,192.5,Put,17.15,17.9,0.2076,-1,0,0,0,0
3/2/19,AAPL,3/15/19,200,Call,0.01,0.02,0.2076,0.0006,0.0003,-0.0005,0.0007,0
3/2/19,AAPL,3/15/19,200,Put,24.55,25.35,0.2076,-1,0,0,0,0
3/2/19,AAPL,3/29/19,187.5,Call,0.31,0.35,0.1751,0.0863,0.0186,-0.0249,0.0762,0.0113
3/2/19,AAPL,3/29/19,187.5,Put,12.5,13.05,0.192,-0.9092,0.0214,-0.0212,0.0839,-0.0557
3/2/19,AAPL,3/29/19,192.5,Call,0.09,0.13,0.1809,0.0326,0.0083,-0.0118,0.0353,0.0043
3/2/19,AAPL,3/29/19,192.5,Put,17.15,17.95,0.1947,-0.98,0.0115,-0.0053,0.0273,-0.0175
3/2/19,AAPL,3/29/19,200,Call,0.02,0.05,0.1872,0.0059,0.0019,-0.0028,0.0081,0.0008
3/2/19,AAPL,3/29/19,200,Put,24.65,25.55,0.2158,-1,0,0,0,0
3/2/19,AAPL,4/18/19,185,Call,1.32,1.37,0.179,0.2163,0.0261,-0.0376,0.184,0.0469
3/2/19,AAPL,4/18/19,185,Put,10.7,11,0.175,-0.8081,0.028,-0.0253,0.1755,-0.1083
3/2/19,AAPL,4/18/19,190,Call,0.58,0.61,0.1775,0.113,0.0172,-0.0241,0.1203,0.0247
3/2/19,AAPL,4/18/19,190,Put,15.05,15.4,0.1738,-0.9205,0.0192,-0.0119,0.0981,-0.0732
3/2/19,AAPL,4/18/19,200,Call,0.12,0.13,0.1874,0.0283,0.0055,-0.0085,0.0407,0.0062
3/2/19,AAPL,4/18/19,200,Put,24.65,25.55,0.2285,-0.9655,0.0097,-0.0077,0.0511,-0.0463
3/9/19,AAPL,3/22/19,185,Call,0.11,0.13,0.198,0.0444,0.014,-0.023,0.0317,0.0029
3/9/19,AAPL,3/22/19,185,Put,9.95,14.15,0.198,-0.9698,0.0153,-0.0121,0.0257,-0.0169
3/9/19,AAPL,3/22/19,190,Call,0.04,0.05,0.2225,0.0169,0.0056,-0.0115,0.0142,0.0011
3/9/19,AAPL,3/22/19,190,Put,15.1,19.1,0.2408,-0.9883,0.0081,-0.0063,0.0122,-0.0083
3/9/19,AAPL,3/22/19,200,Call,0.01,0.03,0.2545,0.002,0.0007,-0.002,0.0021,0.0001
3/9/19,AAPL,3/22/19,200,Put,24.95,29.1,0.33,-0.9971,0.003,-0.0027,0.0039,-0.0013
3/9/19,AAPL,4/5/19,185,Call,0.51,0.55,0.1958,0.1181,0.0211,-0.0345,0.0946,0.0152
3/9/19,AAPL,4/5/19,185,Put,12.2,12.4,0.1845,-0.9142,0.022,-0.019,0.0793,-0.0527
3/9/19,AAPL,4/5/19,190,Call,0.18,0.2,0.1984,0.049,0.0107,-0.0178,0.0486,0.0063
3/9/19,AAPL,4/5/19,190,Put,16.85,19.15,0.3156,-0.8525,0.0163,-0.0549,0.1135,-0.0755
3/9/19,AAPL,4/5/19,200,Call,0.02,0.03,0.2114,0.0076,0.0021,-0.0039,0.0101,0.001
3/9/19,AAPL,4/5/19,200,Put,25,29.1,0.2114,-1,0,0,0,0
